word,polarity,frequency
service,neutral,31482
good,positive,28572
mcdonald,neutral,25593
food,neutral,25089
order,neutral,18614
fast,positive,17191
place,neutral,13281
don,neutral,12564
staff,neutral,11486
always,neutral,10807
everything,neutral,8838
more,neutral,8017
clean,positive,7884
ordered,neutral,7152
friendly,positive,7118
didn,neutral,6737
burger,neutral,6696
great,positive,6532
restaurant,neutral,6368
bad,negative,6069
eat,neutral,5933
terrible,negative,5928
excellent,positive,5593
fries,neutral,5179
without,neutral,5126
minutes,neutral,5003
ice,neutral,4966
missing,neutral,4942
slow,negative,4884
dirty,negative,4567
went,neutral,4483
orders,neutral,4479
cold,negative,4340
something,neutral,4282
burgers,neutral,4262
same,neutral,4160
children,neutral,4156
served,neutral,4092
long,neutral,4086
never,neutral,3930
cream,neutral,3844
much,neutral,3787
quality,neutral,3785
table,neutral,3765
little,neutral,3722
tables,neutral,3686
best,positive,3683
going,neutral,3670
serve,neutral,3618
wait,neutral,3551
customer,neutral,3484
another,neutral,3461
nice,positive,3458
area,neutral,3358
drive,neutral,3335
many,neutral,3309
quick,neutral,3282
customers,neutral,3275
too,neutral,3233
times,neutral,3160
lot,neutral,3157
thru,neutral,3114
waiting,neutral,3110
meal,neutral,3093
home,neutral,3060
attentive,positive,2997
manager,neutral,2980
told,neutral,2977
quite,neutral,2935
nothing,neutral,2931
gave,neutral,2914
worst,negative,2837
thing,neutral,2775
small,neutral,2765
super,positive,2744
better,positive,2741
half,neutral,2738
employees,neutral,2735
made,neutral,2669
since,neutral,2645
parking,neutral,2619
recommend,positive,2594
delicious,positive,2588
ordering,neutral,2573
top,positive,2559
every,neutral,2556
things,neutral,2529
hour,neutral,2512
doesn,neutral,2505
here,neutral,2502
menu,neutral,2501
delivery,neutral,2489
really,neutral,2484
today,neutral,2478
asked,neutral,2461
again,neutral,2454
while,neutral,2410
bit,neutral,2390
experience,neutral,2384
quickly,neutral,2361
won,positive,2346
put,neutral,2319
location,neutral,2307
took,neutral,2285
got,neutral,2284
poor,negative,2281
love,positive,2273
fine,positive,2266
else,neutral,2265
through,neutral,2253
ever,neutral,2250
coffee,neutral,2235
large,neutral,2231
where,neutral,2206
inside,neutral,2191
ask,neutral,2174
wasn,neutral,2162
before,neutral,2162
anything,neutral,2148
girl,neutral,2139
perfect,positive,2112
wrong,negative,2108
left,neutral,2104
pay,neutral,2086
almost,neutral,2049
especially,neutral,2011
already,neutral,2010
crowded,negative,1996
hamburgers,neutral,1996
everyone,neutral,1987
arrived,neutral,1971
still,neutral,1950
terrace,neutral,1943
right,positive,1935
mac,neutral,1928
find,neutral,1928
off,neutral,1927
eating,neutral,1924
hamburger,neutral,1915
came,neutral,1906
usually,neutral,1888
rude,negative,1886
few,neutral,1885
hours,neutral,1874
though,neutral,1859
open,neutral,1831
leave,neutral,1825
isn,neutral,1821
thank,positive,1821
three,neutral,1808
although,neutral,1804
chain,neutral,1797
atmosphere,neutral,1793
ketchup,neutral,1780
establishment,neutral,1777
pleasant,positive,1753
big,neutral,1749
price,neutral,1741
located,neutral,1734
attention,neutral,1732
last,neutral,1721
worse,negative,1704
full,neutral,1697
kids,neutral,1666
sauce,neutral,1663
next,neutral,1659
check,neutral,1650
outside,neutral,1647
machine,neutral,1637
less,neutral,1637
expensive,negative,1606
person,neutral,1592
drinks,neutral,1591
happy,positive,1579
getting,neutral,1572
kind,neutral,1539
free,positive,1539
employee,neutral,1527
app,neutral,1509
chicken,neutral,1503
away,neutral,1501
around,neutral,1496
understand,neutral,1495
problem,negative,1492
couldn,neutral,1488
cleanliness,positive,1487
potatoes,neutral,1483
busy,neutral,1475
tell,neutral,1468
awful,negative,1463
otherwise,neutral,1461
line,neutral,1457
counter,neutral,1453
car,neutral,1452
lack,negative,1446
several,neutral,1435
cheese,neutral,1426
drink,neutral,1412
floor,neutral,1411
placed,neutral,1403
bring,neutral,1399
paid,neutral,1399
charge,neutral,1395
space,neutral,1388
dinner,neutral,1384
ones,neutral,1383
normal,neutral,1376
typical,neutral,1374
need,neutral,1372
hot,positive,1368
machines,neutral,1359
efficient,positive,1356
takeout,neutral,1348
money,neutral,1339
products,neutral,1336
weren,neutral,1313
let,neutral,1310
mistake,negative,1310
working,neutral,1304
those,neutral,1290
prices,neutral,1290
down,neutral,1282
number,neutral,1278
least,neutral,1272
bathrooms,neutral,1270
treatment,neutral,1267
why,neutral,1267
family,neutral,1259
disgusting,negative,1253
disaster,negative,1251
shame,negative,1247
close,neutral,1240
spacious,positive,1237
forget,neutral,1236
happened,neutral,1235
complain,negative,1232
both,neutral,1232
king,neutral,1224
sometimes,neutral,1222
usual,neutral,1221
workers,neutral,1215
meals,neutral,1190
waited,neutral,1189
mistakes,negative,1181
others,neutral,1169
guy,neutral,1168
glovo,neutral,1163
offer,neutral,1161
wouldn,neutral,1158
nuggets,neutral,1152
treated,neutral,1150
incredibly,positive,1136
closed,neutral,1135
recommended,positive,1134
meat,neutral,1130
restaurants,neutral,1127
water,neutral,1125
play,neutral,1117
giving,neutral,1116
seen,neutral,1114
poorly,negative,1108
cheap,negative,1108
double,neutral,1102
completely,neutral,1101
during,neutral,1099
quiet,positive,1087
once,neutral,1084
bacon,neutral,1079
cleaning,neutral,1076
definitely,neutral,1070
bathroom,neutral,1070
pretty,positive,1060
night,neutral,1054
takes,neutral,1052
short,neutral,1051
restrooms,neutral,1043
speed,neutral,1037
such,neutral,1035
brought,neutral,1032
okay,neutral,1029
mcflurry,neutral,1029
until,neutral,1018
menus,neutral,1016
helpful,positive,1014
expect,neutral,1014
change,neutral,1012
different,neutral,1012
extra,neutral,1009
items,neutral,1009
junk,negative,1007
serving,neutral,1004
wanted,neutral,998
bag,neutral,990
regular,neutral,972
correct,positive,968
places,neutral,967
mcauto,neutral,960
disgrace,negative,960
empty,neutral,959
easy,positive,956
stars,neutral,951
center,neutral,951
received,neutral,949
organized,neutral,948
covid,neutral,944
keep,neutral,941
option,neutral,936
shameful,negative,936
phone,neutral,928
napkins,neutral,922
used,neutral,921
offers,neutral,918
due,neutral,917
either,neutral,914
second,neutral,914
often,neutral,900
comfortable,positive,899
instead,neutral,898
pick,neutral,896
old,neutral,893
desired,neutral,890
sauces,neutral,884
seems,neutral,881
aren,neutral,876
hope,neutral,863
dry,neutral,861
lots,neutral,860
haven,neutral,857
someone,neutral,856
given,neutral,856
return,neutral,853
deluxe,neutral,850
called,neutral,849
despite,neutral,848
four,neutral,846
horrible,negative,845
special,neutral,844
front,neutral,839
